CYP2D6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*2x2/*72,,CYP2D6 Indeterminate,none
*2x2/*73,,CYP2D6 Indeterminate,none
*2x2/*74,,CYP2D6 Indeterminate,none
*2x2/*75,,CYP2D6 Indeterminate,none
*2x2/*81,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*82,,CYP2D6 Indeterminate,none
*2x2/*83,,CYP2D6 Indeterminate,none
*2x2/*84,,CYP2D6 Indeterminate,none
*2x2/*85,,CYP2D6 Indeterminate,none
*2x2/*86,,CYP2D6 Indeterminate,none
*2x2/*87,,CYP2D6 Indeterminate,none
*2x2/*88,,CYP2D6 Indeterminate,none
*2x2/*89,,CYP2D6 Indeterminate,none
*2x2/*90,,CYP2D6 Indeterminate,none
*2x2/*91,2.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*92,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*93,,CYP2D6 Indeterminate,none
*2x2/*94,,CYP2D6 Indeterminate,none
*2x2/*95,,CYP2D6 Indeterminate,none
*2x2/*96,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*97,,CYP2D6 Indeterminate,none
*2x2/*98,,CYP2D6 Indeterminate,none
*2x2/*99,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*100,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*101,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*102,,CYP2D6 Indeterminate,none
*2x2/*103,,CYP2D6 Indeterminate,none
*2x2/*104,,CYP2D6 Indeterminate,none
*2x2/*105,,CYP2D6 Indeterminate,none
*2x2/*106,,CYP2D6 Indeterminate,none
*2x2/*107,,CYP2D6 Indeterminate,none
*2x2/*108,,CYP2D6 Indeterminate,none
*2x2/*109,2.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*110,,CYP2D6 Indeterminate,none
*2x2/*111,,CYP2D6 Indeterminate,none
*2x2/*112,,CYP2D6 Indeterminate,none
*2x2/*113,,CYP2D6 Indeterminate,none
*2x2/*114,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*115,,CYP2D6 Indeterminate,none
*2x2/*116,,CYP2D6 Indeterminate,none
*2x2/*117,,CYP2D6 Indeterminate,none
*2x2/*118,,CYP2D6 Indeterminate,none
*2x2/*119,2.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*120,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*121,,CYP2D6 Indeterminate,none
*2x2/*122,,CYP2D6 Indeterminate,none
*2x2/*123,,CYP2D6 Indeterminate,none
*2x2/*124,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*125,,CYP2D6 Indeterminate,none
*2x2/*126,,CYP2D6 Indeterminate,none
*2x2/*127,,CYP2D6 Indeterminate,none
*2x2/*128,,CYP2D6 Indeterminate,none
*2x2/*129,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*130,,CYP2D6 Indeterminate,none
*2x2/*131,,CYP2D6 Indeterminate,none
*2x2/*132,2.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*133,,CYP2D6 Indeterminate,none
*2x2/*134,,CYP2D6 Indeterminate,none
*2x2/*135,,CYP2D6 Indeterminate,none
*2x2/*136,,CYP2D6 Indeterminate,none
*2x2/*137,,CYP2D6 Indeterminate,none
*2x2/*138,,CYP2D6 Indeterminate,none
*2x2/*139,,CYP2D6 Indeterminate,none
*2x2/*140,,CYP2D6 Indeterminate,none
*2x2/*141,,CYP2D6 Indeterminate,none
*2x2/*142,,CYP2D6 Indeterminate,none
*2x2/*143,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*144,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*145,,CYP2D6 Indeterminate,none
*2x2/*146,,CYP2D6 Indeterminate,none
*2x2/*146x2,,CYP2D6 Indeterminate,none
*2x2/*147,,CYP2D6 Indeterminate,none
*2x2/*148,,CYP2D6 Indeterminate,none
*2x2/*149,,CYP2D6 Indeterminate,none
*2x2/*152,,CYP2D6 Indeterminate,none
*2x2/*153,,CYP2D6 Indeterminate,none
*2x2/*154,,CYP2D6 Indeterminate,none
*2x2/*155,,CYP2D6 Indeterminate,none
*2x2/*156,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*157,,CYP2D6 Indeterminate,none
*2x2/*158,,CYP2D6 Indeterminate,none
*2x2/*159,,CYP2D6 Indeterminate,none
*2x2/*160,,CYP2D6 Indeterminate,none
*2x2/*161,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*162,,CYP2D6 Indeterminate,none
*2x2/*163,,CYP2D6 Indeterminate,none
*2x≥3/*2x≥3,≥6.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*3,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*3x2,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*4,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*4x2,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*4x≥3,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*5,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*6,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*6x2,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*7,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*8,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*9,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*9x2,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*10,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*10x2,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*11,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*12,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*13,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*13+*1,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*13+*1x2,≥5.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*13+*2,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*13+*68x2+*4,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*14,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*15,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*17,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*17x2,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*18,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*19,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*20,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*21,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*22,,CYP2D6 Indeterminate,none
*2x≥3/*23,,CYP2D6 Indeterminate,none
*2x≥3/*24,,CYP2D6 Indeterminate,none
*2x≥3/*25,,CYP2D6 Indeterminate,none
*2x≥3/*26,,CYP2D6 Indeterminate,none
*2x≥3/*27,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*27x2,≥5.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*28,,CYP2D6 Indeterminate,none
*2x≥3/*28x2,,CYP2D6 Indeterminate,none
*2x≥3/*29,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*29x2,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*30,,CYP2D6 Indeterminate,none
*2x≥3/*31,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*32,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*33,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*34,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*35,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*35x2,≥5.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*36,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*36+*10,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*36+*10x2,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*36x2,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*36x2+*10,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*36x2+*10x2,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*37,,CYP2D6 Indeterminate,none
*2x≥3/*38,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*39,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*40,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*41,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*41x2,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*41x3,≥3.75,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*42,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*43,,CYP2D6 Indeterminate,none
*2x≥3/*43x2,,CYP2D6 Indeterminate,none
*2x≥3/*44,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*45,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*45x2,≥5.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*46,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*47,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*48,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*49,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*50,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*51,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*52,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*53,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*54,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*55,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*56,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*58,,CYP2D6 Indeterminate,none
*2x≥3/*59,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*60,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*61,,CYP2D6 Indeterminate,none
*2x≥3/*62,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*63,,CYP2D6 Indeterminate,none
*2x≥3/*64,,CYP2D6 Indeterminate,none
*2x≥3/*65,,CYP2D6 Indeterminate,none
*2x≥3/*68,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*68+*2,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*68+*4,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*69,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*70,,CYP2D6 Indeterminate,none
*2x≥3/*71,,CYP2D6 Indeterminate,none
*2x≥3/*72,,CYP2D6 Indeterminate,none
*2x≥3/*73,,CYP2D6 Indeterminate,none
*2x≥3/*74,,CYP2D6 Indeterminate,none
*2x≥3/*75,,CYP2D6 Indeterminate,none
*2x≥3/*81,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*82,,CYP2D6 Indeterminate,none
*2x≥3/*83,,CYP2D6 Indeterminate,none
*2x≥3/*84,,CYP2D6 Indeterminate,none
*2x≥3/*85,,CYP2D6 Indeterminate,none
*2x≥3/*86,,CYP2D6 Indeterminate,none
*2x≥3/*87,,CYP2D6 Indeterminate,none
*2x≥3/*88,,CYP2D6 Indeterminate,none
*2x≥3/*89,,CYP2D6 Indeterminate,none
*2x≥3/*90,,CYP2D6 Indeterminate,none
*2x≥3/*91,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*92,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*93,,CYP2D6 Indeterminate,none
*2x≥3/*94,,CYP2D6 Indeterminate,none
*2x≥3/*95,,CYP2D6 Indeterminate,none
*2x≥3/*96,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*97,,CYP2D6 Indeterminate,none
*2x≥3/*98,,CYP2D6 Indeterminate,none
*2x≥3/*99,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*100,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*101,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*102,,CYP2D6 Indeterminate,none
*2x≥3/*103,,CYP2D6 Indeterminate,none
*2x≥3/*104,,CYP2D6 Indeterminate,none
*2x≥3/*105,,CYP2D6 Indeterminate,none
*2x≥3/*106,,CYP2D6 Indeterminate,none
*2x≥3/*107,,CYP2D6 Indeterminate,none
*2x≥3/*108,,CYP2D6 Indeterminate,none
*2x≥3/*109,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*110,,CYP2D6 Indeterminate,none
*2x≥3/*111,,CYP2D6 Indeterminate,none
*2x≥3/*112,,CYP2D6 Indeterminate,none
*2x≥3/*113,,CYP2D6 Indeterminate,none
*2x≥3/*114,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*115,,CYP2D6 Indeterminate,none
*2x≥3/*116,,CYP2D6 Indeterminate,none
*2x≥3/*117,,CYP2D6 Indeterminate,none
*2x≥3/*118,,CYP2D6 Indeterminate,none
*2x≥3/*119,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*120,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*121,,CYP2D6 Indeterminate,none
*2x≥3/*122,,CYP2D6 Indeterminate,none
*2x≥3/*123,,CYP2D6 Indeterminate,none
*2x≥3/*124,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*125,,CYP2D6 Indeterminate,none
*2x≥3/*126,,CYP2D6 Indeterminate,none
*2x≥3/*127,,CYP2D6 Indeterminate,none
*2x≥3/*128,,CYP2D6 Indeterminate,none
*2x≥3/*129,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*130,,CYP2D6 Indeterminate,none
*2x≥3/*131,,CYP2D6 Indeterminate,none
*2x≥3/*132,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*133,,CYP2D6 Indeterminate,none
*2x≥3/*134,,CYP2D6 Indeterminate,none
*2x≥3/*135,,CYP2D6 Indeterminate,none
*2x≥3/*136,,CYP2D6 Indeterminate,none
*2x≥3/*137,,CYP2D6 Indeterminate,none
*2x≥3/*138,,CYP2D6 Indeterminate,none
*2x≥3/*139,,CYP2D6 Indeterminate,none
*2x≥3/*140,,CYP2D6 Indeterminate,none
*2x≥3/*141,,CYP2D6 Indeterminate,none
*2x≥3/*142,,CYP2D6 Indeterminate,none
*2x≥3/*143,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*144,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*145,,CYP2D6 Indeterminate,none
*2x≥3/*146,,CYP2D6 Indeterminate,none
*2x≥3/*146x2,,CYP2D6 Indeterminate,none
*2x≥3/*147,,CYP2D6 Indeterminate,none
*2x≥3/*148,,CYP2D6 Indeterminate,none
*2x≥3/*149,,CYP2D6 Indeterminate,none
*2x≥3/*152,,CYP2D6 Indeterminate,none
*2x≥3/*153,,CYP2D6 Indeterminate,none
*2x≥3/*154,,CYP2D6 Indeterminate,none
*2x≥3/*155,,CYP2D6 Indeterminate,none
*2x≥3/*156,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*157,,CYP2D6 Indeterminate,none
*2x≥3/*158,,CYP2D6 Indeterminate,none
*2x≥3/*159,,CYP2D6 Indeterminate,none
*2x≥3/*160,,CYP2D6 Indeterminate,none
*2x≥3/*161,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x≥3/*162,,CYP2D6 Indeterminate,none
*2x≥3/*163,,CYP2D6 Indeterminate,none
*3/*3,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*3x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*4,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*4x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*4x≥3,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*5,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*6,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*6x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*7,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*8,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*9,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*9x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*10,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*10x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*11,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*12,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*13,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*13+*1,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*13+*1x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*3/*13+*2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*13+*68x2+*4,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*14,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*15,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*17,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*17x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*18,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*19,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*20,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*21,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*22,,CYP2D6 Indeterminate,none
*3/*23,,CYP2D6 Indeterminate,none
*3/*24,,CYP2D6 Indeterminate,none
*3/*25,,CYP2D6 Indeterminate,none
*3/*26,,CYP2D6 Indeterminate,none
*3/*27,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*27x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*3/*28,,CYP2D6 Indeterminate,none
*3/*28x2,,CYP2D6 Indeterminate,none
*3/*29,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*29x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*30,,CYP2D6 Indeterminate,none
*3/*31,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*32,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*33,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*34,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*35,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*35x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*3/*36,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*36+*10,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*36+*10x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*36x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*36x2+*10,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*36x2+*10x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*37,,CYP2D6 Indeterminate,none
*3/*38,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*39,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*40,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*41,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*41x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*41x3,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*42,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*43,,CYP2D6 Indeterminate,none
*3/*43x2,,CYP2D6 Indeterminate,none
*3/*44,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*45,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*45x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*3/*46,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*47,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*48,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*49,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*50,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*51,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*52,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*53,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*54,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*55,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*56,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*58,,CYP2D6 Indeterminate,none
*3/*59,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*60,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*61,,CYP2D6 Indeterminate,none
*3/*62,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*63,,CYP2D6 Indeterminate,none
*3/*64,,CYP2D6 Indeterminate,none
*3/*65,,CYP2D6 Indeterminate,none
*3/*68,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*68+*2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*68+*4,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*69,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*70,,CYP2D6 Indeterminate,none
*3/*71,,CYP2D6 Indeterminate,none
*3/*72,,CYP2D6 Indeterminate,none
*3/*73,,CYP2D6 Indeterminate,none
*3/*74,,CYP2D6 Indeterminate,none
*3/*75,,CYP2D6 Indeterminate,none
*3/*81,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*82,,CYP2D6 Indeterminate,none
*3/*83,,CYP2D6 Indeterminate,none
*3/*84,,CYP2D6 Indeterminate,none
*3/*85,,CYP2D6 Indeterminate,none
*3/*86,,CYP2D6 Indeterminate,none
*3/*87,,CYP2D6 Indeterminate,none
*3/*88,,CYP2D6 Indeterminate,none
*3/*89,,CYP2D6 Indeterminate,none
*3/*90,,CYP2D6 Indeterminate,none
*3/*91,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*92,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*93,,CYP2D6 Indeterminate,none
*3/*94,,CYP2D6 Indeterminate,none
*3/*95,,CYP2D6 Indeterminate,none
*3/*96,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*97,,CYP2D6 Indeterminate,none
*3/*98,,CYP2D6 Indeterminate,none
*3/*99,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
