CYP2D6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*36/*160,,CYP2D6 Indeterminate,none
*36/*161,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*162,,CYP2D6 Indeterminate,none
*36/*163,,CYP2D6 Indeterminate,none
*36+*10/*36+*10,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*36+*10x2,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*36x2,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*36x2+*10,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*36x2+*10x2,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*37,,CYP2D6 Indeterminate,none
*36+*10/*38,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*39,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10/*40,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*41,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*41x2,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*41x3,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*42,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*43,,CYP2D6 Indeterminate,none
*36+*10/*43x2,,CYP2D6 Indeterminate,none
*36+*10/*44,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*45,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10/*45x2,2.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10/*46,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10/*47,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*48,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10/*49,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*50,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*51,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*52,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*53,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10/*54,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*55,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*56,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*58,,CYP2D6 Indeterminate,none
*36+*10/*59,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*60,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*61,,CYP2D6 Indeterminate,none
*36+*10/*62,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*63,,CYP2D6 Indeterminate,none
*36+*10/*64,,CYP2D6 Indeterminate,none
*36+*10/*65,,CYP2D6 Indeterminate,none
*36+*10/*68,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*68+*2,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10/*68+*4,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*69,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*70,,CYP2D6 Indeterminate,none
*36+*10/*71,,CYP2D6 Indeterminate,none
*36+*10/*72,,CYP2D6 Indeterminate,none
*36+*10/*73,,CYP2D6 Indeterminate,none
*36+*10/*74,,CYP2D6 Indeterminate,none
*36+*10/*75,,CYP2D6 Indeterminate,none
*36+*10/*81,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*82,,CYP2D6 Indeterminate,none
*36+*10/*83,,CYP2D6 Indeterminate,none
*36+*10/*84,,CYP2D6 Indeterminate,none
*36+*10/*85,,CYP2D6 Indeterminate,none
*36+*10/*86,,CYP2D6 Indeterminate,none
*36+*10/*87,,CYP2D6 Indeterminate,none
*36+*10/*88,,CYP2D6 Indeterminate,none
*36+*10/*89,,CYP2D6 Indeterminate,none
*36+*10/*90,,CYP2D6 Indeterminate,none
*36+*10/*91,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*92,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
